"model.code","state","band.code","value","dset_name","band","model","loss","lr","epoch","exp_id","pretrained","batch_size","metric","weight","thres","date"
"bioclim","pa","band-1",0.021074595722483,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"obs_top1","nan",0.5,"2026-05-26"
"bioclim","pa","band-1",0.00270107691685391,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"species_top1","nan",0.5,"2026-05-26"
"bioclim","pa","band-1",0.078038601982264,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"obs_top5","nan",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0119565586350497,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"species_top5","nan",0.5,"2026-05-26"
"bioclim","pa","band-1",0.284402712571727,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"obs_top30","nan",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0691089687240054,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"species_top30","nan",0.5,"2026-05-26"
"bioclim","pa","band-1",0.569744392279603,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"obs_top100","nan",0.5,"2026-05-26"
"bioclim","pa","band-1",0.217292892198668,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"species_top100","nan",0.5,"2026-05-26"
"bioclim","pa","band-1",0.69388059825658,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"ROC_AUC","nan",NA,"2026-05-26"
"bioclim","pa","band-1",0.0427243413875612,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"PRC_AUC","nan",NA,"2026-05-26"
"bioclim","pa","band-1",0.693738266053496,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"calibrated_ROC_AUC","nan",NA,"2026-05-26"
"bioclim","pa","band-1",0.0330304181847783,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"calibrated_PRC_AUC","nan",NA,"2026-05-26"
"db","ny","band0",0.0382604527864667,"plants_ny_2017",0,"DEEPBIOSPHERE","SAMPLE_AWARE_BCE",1e-05,8,"db_ny_band_0","NONE",150,"precision_score","macro",0.5,"2026-05-22"
