"genus","species","pa","ny","total","pa.pc","ny.pc"
"Schoenoplectus","Schoenoplectus tabernaemontani",14,28,42,33.3333333333333,66.6666666666667
"Scilla","Scilla forbesii",8,20,28,28.5714285714286,71.4285714285714
"Scilla","Scilla luciliae",4,46,50,8,92
"Scilla","Scilla mischtschenkoana",2,9,11,18.1818181818182,81.8181818181818
"Scilla","Scilla sardensis",1,6,7,14.2857142857143,85.7142857142857
"Scilla","Scilla siberica",130,303,433,30.0230946882217,69.9769053117783
"Scirpus","Scirpus atrovirens",12,30,42,28.5714285714286,71.4285714285714
"Scirpus","Scirpus cyperinus",82,102,184,44.5652173913044,55.4347826086956
"Scirpus","Scirpus microcarpus",1,7,8,12.5,87.5
"Scirpus","Scirpus pedicellatus",1,2,3,33.3333333333333,66.6666666666667
"Scirpus","Scirpus pendulus",1,11,12,8.33333333333333,91.6666666666667
"Scirpus","Scirpus polyphyllus",1,3,4,25,75
"Scleranthus","Scleranthus annuus",15,58,73,20.5479452054795,79.4520547945205
"Scleria","Scleria pauciflora",8,0,8,100,0
"Sclerochloa","Sclerochloa dura",2,1,3,66.6666666666667,33.3333333333333
"Scorzoneroides","Scorzoneroides autumnalis",7,15,22,31.8181818181818,68.1818181818182
"Scrophularia","Scrophularia lanceolata",3,4,7,42.8571428571429,57.1428571428571
"Scrophularia","Scrophularia marilandica",40,8,48,83.3333333333333,16.6666666666667
"Scrophularia","Scrophularia nodosa",1,2,3,33.3333333333333,66.6666666666667
"Scutellaria","Scutellaria elliptica",28,0,28,100,0
"Scutellaria","Scutellaria galericulata",19,100,119,15.9663865546218,84.0336134453782
"Scutellaria","Scutellaria incana",90,31,121,74.3801652892562,25.6198347107438
"Scutellaria","Scutellaria integrifolia",30,0,30,100,0
"Scutellaria","Scutellaria lateriflora",48,100,148,32.4324324324324,67.5675675675676
"Scutellaria","Scutellaria nervosa",3,0,3,100,0
"Scutellaria","Scutellaria ovata",2,0,2,100,0
"Scutellaria","Scutellaria parvula",2,3,5,40,60
"Scutellaria","Scutellaria serrata",4,1,5,80,20
"Secale","Secale cereale",10,4,14,71.4285714285714,28.5714285714286
"Sedum","Sedum acre",48,142,190,25.2631578947368,74.7368421052632
"Sedum","Sedum album",20,62,82,24.390243902439,75.609756097561
"Sedum","Sedum mexicanum",1,0,1,100,0
"Sedum","Sedum sarmentosum",309,405,714,43.2773109243698,56.7226890756302
"Sedum","Sedum sexangulare",14,48,62,22.5806451612903,77.4193548387097
"Sedum","Sedum ternatum",325,41,366,88.7978142076503,11.2021857923497
"Selaginella","Selaginella apoda",17,13,30,56.6666666666667,43.3333333333333
"Selaginella","Selaginella rupestris",4,13,17,23.5294117647059,76.4705882352941
"Senecio","Senecio viscosus",3,1,4,75,25
"Senecio","Senecio vulgaris",364,738,1102,33.0308529945554,66.9691470054446
"Senna","Senna hebecarpa",77,24,101,76.2376237623762,23.7623762376238
"Senna","Senna marilandica",7,5,12,58.3333333333333,41.6666666666667
"Senna","Senna obtusifolia",6,2,8,75,25
"Sericocarpus","Sericocarpus asteroides",2,11,13,15.3846153846154,84.6153846153846
"Setaria","Setaria faberi",103,144,247,41.7004048582996,58.2995951417004
"Setaria","Setaria italica",1,2,3,33.3333333333333,66.6666666666667
"Setaria","Setaria parviflora",1,2,3,33.3333333333333,66.6666666666667
"Setaria","Setaria pumila",119,148,267,44.5692883895131,55.4307116104869
