"folder","file","output","reval"
"retvals_43074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43074/m_4307443_nw_18_1_20170911.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43074/m_4307443_nw_18_1_20170911.200.jpg.aux.xml",1
"retvals_43074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43074/m_4307443_nw_18_1_20170911.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43074/m_4307443_nw_18_1_20170911.tif",1
"retvals_43075.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307542_sw_18_1_20170902.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43075/m_4307542_sw_18_1_20170902.tif",1
"retvals_43075.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307543_ne_18_1_20170902.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43075/m_4307543_ne_18_1_20170902.200.jpg",1
"retvals_43075.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307543_ne_18_1_20170902.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43075/m_4307543_ne_18_1_20170902.200.jpg.aux.xml",1
"retvals_43075.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307543_ne_18_1_20170902.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43075/m_4307543_ne_18_1_20170902.tif",1
"retvals_43075.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307543_nw_18_1_20170902.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43075/m_4307543_nw_18_1_20170902.200.jpg",1
"retvals_43075.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307543_nw_18_1_20170902.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43075/m_4307543_nw_18_1_20170902.200.jpg.aux.xml",1
"retvals_43075.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307543_nw_18_1_20170902.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43075/m_4307543_nw_18_1_20170902.tif",1
"retvals_44074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/44074/m_4407442_sw_18_1_20170902.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/44074/m_4407442_sw_18_1_20170902.tif",1
"retvals_44074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/44074/m_4407443_ne_18_1_20170912.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/44074/m_4407443_ne_18_1_20170912.200.jpg",1
"retvals_44074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/44074/m_4407443_ne_18_1_20170912.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/44074/m_4407443_ne_18_1_20170912.200.jpg.aux.xml",1
"retvals_44074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/44074/m_4407443_ne_18_1_20170912.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/44074/m_4407443_ne_18_1_20170912.tif",1
"retvals_44074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/44074/m_4407443_nw_18_1_20170912.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/44074/m_4407443_nw_18_1_20170912.200.jpg",1
"retvals_44074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/44074/m_4407443_nw_18_1_20170912.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/44074/m_4407443_nw_18_1_20170912.200.jpg.aux.xml",1
"retvals_44074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/44074/m_4407443_nw_18_1_20170912.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/44074/m_4407443_nw_18_1_20170912.tif",1
